Timestamp	anon	anon	anon	anon	anon	How familiar are you with version control? (git, svn, mercurial, cvs, etc.)	How familiar are you with Python?	Have you taken a course on Machine Learning or Data Mining?	anon anon
1/4/2016 15:28:45	anon	anon	anon	anon	anon	5	4	No	anon anon
1/4/2016 15:28:54	anon	anon	anon	anon	anon	4	3	Yes	anon anon
1/4/2016 15:33:06	anon	anon	anon	anon	anon	4	4	No	anon anon
1/4/2016 15:36:05	anon	anon	anon	anon	anon	2	4	No	anon anon
1/4/2016 15:38:41	anon	anon	anon	anon	anon	3	1	No	anon anon
1/4/2016 16:01:23	anon	anon	anon	anon	anon	2	1	No	anon anon
1/4/2016 16:03:36	anon	anon	anon	anon	anon	3	2	No	anon anon
1/4/2016 16:28:00	anon	anon	anon	anon	anon	3	3	No	anon anon
1/4/2016 16:32:12	anon	anon	anon	anon	anon	2	1	Yes	anon anon
1/4/2016 16:34:37	anon	anon	anon	anon	anon	3	3	No	anon anon
1/4/2016 17:19:01	anon	anon	anon	anon	anon	2	1	No	anon anon
1/4/2016 18:05:51	anon	anon	anon	anon	anon	4	3	No	anon anon
1/4/2016 18:09:27	anon	anon	anon	anon	anon	5	3	No	anon anon
1/4/2016 18:27:15	anon	anon	anon	anon	anon	1	2	No	anon anon
1/4/2016 18:53:46	anon	anon	anon	anon	anon	2	4	Yes	anon anon
1/4/2016 19:14:59	anon	anon	anon	anon	anon	5	5	No	anon anon
1/4/2016 20:17:14	anon	anon	anon	anon	anon	2	1	No	anon anon
1/4/2016 20:28:53	anon	anon	anon	anon	anon	5	3	No	anon anon
1/4/2016 21:42:45	anon	anon	anon	anon	anon	5	4	No	anon anon
1/4/2016 23:34:44	anon	anon	anon	anon	anon	3	3	No	anon anon
1/5/2016 2:56:26	anon	anon	anon	anon	anon	3	3	Yes	anon anon
1/5/2016 8:21:26	anon	anon	anon	anon	anon	3	1	Yes	anon anon
1/5/2016 11:26:48	anon	anon	anon	anon	anon	2	2	No	anon anon
1/5/2016 12:24:01	anon	anon	anon	anon	anon	4	3	No	anon anon
1/5/2016 13:18:34	anon	anon	anon	anon	anon	3	2	No	anon anon
1/5/2016 14:07:03	anon	anon	anon	anon	anon	3	3	No	anon anon
1/5/2016 16:39:07	anon	anon	anon	anon	anon	2	1	Yes	anon anon
1/6/2016 2:54:45	anon	anon	anon	anon	anon	5	1	Yes	anon anon
1/6/2016 9:45:28	anon	anon	anon	anon	anon	4	4	Yes	anon anon
1/6/2016 10:43:05	anon	anon	anon	anon	anon	4	4	No	anon anon
1/6/2016 13:08:55	anon	anon	anon	anon	anon	3	3	No	anon anon
1/6/2016 14:18:19	anon	anon	anon	anon	anon	3	3	No	anon anon
1/7/2016 8:40:56	anon	anon	anon	anon	anon	5	1	No	anon anon
1/7/2016 11:23:24	anon	anon	anon	anon	anon	2	3	No	anon anon
1/7/2016 11:37:26	anon	anon	anon	anon	anon	2	3	Yes	anon anon
1/7/2016 13:59:23	anon	anon	anon	anon	anon	3	4	Yes	anon anon
1/7/2016 14:32:10	anon	anon	anon	anon	anon	2	2	No	anon anon
1/7/2016 14:46:16	anon	anon	anon	anon	anon	4	4	No	anon anon
1/7/2016 19:20:55	anon	anon	anon	anon	anon	2	2	No	anon anon
1/7/2016 23:14:57	anon	anon	anon	anon	anon	4	3	No	anon anon
1/9/2016 2:21:46	anon	anon	anon	anon	anon	4	4	No	anon anon
1/9/2016 11:24:31	anon	anon	anon	anon	anon	2	3	No	anon anon
1/9/2016 17:14:36	anon	anon	anon	anon	anon	2	1	No	anon anon
1/9/2016 18:42:40	anon	anon	anon	anon	anon	5	2	No	anon anon
1/10/2016 10:37:59	anon	anon	anon	anon	anon	1	1	Yes	anon anon
1/10/2016 14:54:33	anon	anon	anon	anon	anon	3	4	No	anon anon
1/11/2016 0:33:37	anon	anon	anon	anon	anon	5	3	No	anon anon
1/11/2016 11:32:53	anon	anon	anon	anon	anon	3	1	No	anon anon
1/11/2016 11:40:36	anon	anon	anon	anon	anon	3	4	No	anon anon
1/11/2016 11:41:22	anon	anon	anon	anon	anon	5	5	Yes	anon anon
1/11/2016 11:46:54	anon	anon	anon	anon	anon	5	5	No	anon anon
1/11/2016 11:49:35	anon	anon	anon	anon	anon	4	2	No	anon anon
1/11/2016 12:04:12	anon	anon	anon	anon	anon	3	2	Yes	anon anon
1/11/2016 12:10:55	anon	anon	anon	anon	anon	3	1	Yes	anon anon
1/11/2016 12:15:27	anon	anon	anon	anon	anon	4	3	No	anon anon
1/11/2016 12:18:08	anon	anon	anon	anon	anon	2	5	No	anon anon
1/11/2016 13:15:19	anon	anon	anon	anon	anon	4	1	No	anon anon
1/11/2016 13:33:19	anon	anon	anon	anon	anon	2	3	Yes	anon anon
1/11/2016 13:41:43	anon	anon	anon	anon	anon	4	3	No	anon anon
1/11/2016 14:38:09	anon	anon	anon	anon	anon	5	3	No	anon anon
1/11/2016 14:46:20	anon	anon	anon	anon	anon	2	2	No	anon anon
1/11/2016 15:15:15	anon	anon	anon	anon	anon	5	1	Yes	anon anon
1/11/2016 15:24:48	anon	anon	anon	anon	anon	1	1	No	anon anon
1/11/2016 15:28:00	anon	anon	anon	anon	anon	5	4	No	anon anon
1/11/2016 15:39:11	anon	anon	anon	anon	anon	4	2	Yes	anon anon
1/11/2016 16:40:47	anon	anon	anon	anon	anon	2	1	No	anon anon
1/11/2016 18:35:54	anon	anon	anon	anon	anon	1	3	No	anon anon
1/11/2016 19:03:27	anon	anon	anon	anon	anon	4	3	No	anon anon
1/11/2016 19:17:11	anon	anon	anon	anon	anon	1	1	No	anon anon
1/11/2016 19:27:34	anon	anon	anon	anon	anon	3	3	No	anon anon
1/11/2016 21:40:58	anon	anon	anon	anon	anon	3	3	No	anon anon
1/11/2016 23:08:06	anon	anon	anon	anon	anon	1	1	No	anon anon
1/11/2016 23:15:39	anon	anon	anon	anon	anon	3	4	No	anon anon
1/12/2016 1:00:40	anon	anon	anon	anon	anon	5	5	No	anon anon
1/12/2016 7:10:27	anon	anon	anon	anon	anon	4	1	No	anon anon
1/12/2016 10:30:25	anon	anon	anon	anon	anon	3	4	No	anon anon
